store_id,market_id
8e200fc779d0a8e7eaba42e877f0a5c0,5.0
1b9e43c170cd3fc59624a18663b8d4d2,2.0
e0d2fe50debfaec6b2d7bafdd9d936c8,2.0
84f5ddd735176becc72c3b1ff424149e,6.0
e57edfc7529f0c7b21788231308caeab,3.0
3356717f5c9bf6424852e1520a77e503,1.0
5c528e25e1fdeaf9d8160dc24dbf4d60,6.0
653c579e3f9ba5c03f2f2f8cf4512b39,1.0
ed4227734ed75d343320b6a5fd16ce57,1.0
89ea5cb67579289ce2b6a46c42e30424,3.0
2f885d0fbe2e131bfc9d98363e55d1d4,1.0
6c94aac00434f75e46fec31a10de2c0e,3.0
007d4a1214289aea09b9759ae1324e96,6.0
a7974b664364f1655de4ae0484a7bcaf,1.0
5905aa3361a00b7d9356fa6cf222396d,6.0
2e945b99f24f789d68d85ee332131c93,3.0
c8194823937cbafcfcef5b0c21de59bd,1.0
ded081fcbbe6cda656e5bc51dfc6bbfa,3.0
cb3ce9b06932da6faaa7fc70d5b5d2f4,1.0
91299a41773c667d2ee8cddc3f6eeb64,6.0
af12e5e50bc88cf41244cf4ced8988c7,6.0
eef83da5f4bf1168b71baec76e8d17cb,1.0
4e828ce64a721c868278f5cec8f0684e,6.0
e3d2b39d8bc215f6540218d20280232a,1.0
2723d092b63885e0d7c260cc007e8b9d,4.0
4cdcf18ba72a7b28dc405b992f8cddcd,4.0
a6d259bfbfa2062843ef543e21d7ec8e,1.0
1d38dd921e15520709f86320185c5e1d,6.0
a7d8ae4569120b5bec12e7b6e9648b86,1.0
0ad4995acabe081da73ef9481ab5d170,4.0
91866be0ed30d6a36df817992d2a2ef3,5.0
c8d128c127cc299c41e73a24f1158b7c,6.0
28498620653e59a7e22c2b50748e2766,1.0
0004d0b59e19461ff126e3a08a814c33,4.0
4de7729ea5daf28540ee79b3dca73d19,3.0
c559da2ba967eb820766939a658022c8,1.0
42c8938e4cf5777700700e642dc2a8cd,3.0
a607946dc79f1013740366224ff2b175,3.0
fdff71fcab656abfbefaabecab1a7f6d,3.0
52d2752b150f9c35ccb6869cbf074e48,4.0
19a04d6ae3e382a86229740a17307c22,3.0
958c530554f78bcd8e97125b70e6973d,5.0
2e7004ba2bc7a020f9e345fd6cb3dcaa,6.0
46f5ffb3777b7659bb35da6ddab19e05,4.0
11110cf64018697137cadb77b6aee9f8,6.0
4d8bd3f7351f4fee76ba17594f070ddd,1.0
e7702873f903b2f69220f0824b12f3b6,3.0
cabad3b9bc0afe08cd9ec861638ed1d9,3.0
d1d8b9bbeefe2d37fc12e8aa4abf7e86,6.0
da16202114b72b61f71124a219db6e3e,1.0
02b1be0d48924c327124732726097157,4.0
5887aebfeedcde5c7a690992128111da,5.0
5be278a9e02bed9248a4674ff62fea2c,3.0
65684369725be7c63a49221213a928e6,3.0
af141196b05c7fe6f8d290c41aa63f96,3.0
805d94d14046509f82c7bdb1819c64af,1.0
89d50fbb82c5341bcb297265b9c0dd6f,3.0
98b17f068d5d9b7668e19fb8ae470841,6.0
147540e129e096fa91700e9db6588354,3.0
8288eb462e80418e70a393d245a984ce,6.0
bbf37bc29caa653170cf5a578f1e7464,3.0
ec1c59141046cd1866bbbcdfb6ae31d4,6.0
fe04e05fbe48920b8ba90bea2ddfe60b,1.0
d5a1930d166cd2bc2ca54b3405e641d0,5.0
0e7c7d6c41c76b9ee6445ae01cc0181d,1.0
81c650caac28cdefce4de5ddc18befa0,2.0
a3acb1a52dcaf379f44c93dc844acd62,6.0
1cc8a8ea51cd0adddf5dab504a285915,3.0
e14e58299bc41e7fb10c701130c5cb27,1.0
db98dc0dbafde48e8f74c0de001d35e4,1.0
e61f7911ee778def6a5aade05bbe9ca1,3.0
3ce3bd302af473f2307962dd07653315,3.0
1113d7a76ffceca1bb350bfe145467c6,4.0
f8e6960b1cf865c3002b712383c4cfc2,4.0
903ce9225fca3e988c2af215d4e544d3,2.0
037c4b89b115a70b50f13db0d6b4da9d,3.0
3871bd64012152bfb53fdf04b401193f,1.0
7153f307b5c0c430849e99573d3f3176,5.0
5b0fa0e4c041548bb6289e15d865a696,6.0
0e64a7b00c83e3d22ce6b3acf2c582b6,5.0
37c9bc66ebd3a2e455ee2a74feae4c0e,2.0
2fd5d41ec6cfab47e32164d5624269b1,1.0
398024cb5e21d749d728926a28b19d00,2.0
b7ee6f5f9aa5cd17ca1aea43ce848496,4.0
6d390dcb6eaca31079e9876887a36006,6.0
1a336426e09602a4f0118326dd6c72ac,1.0
7cb74407125873315ea8225aacd97e6d,6.0
80fee67c8a4c4989bf8a580b4bbb0cd2,1.0
6adbe8b2ab3a52e619c526eff905468a,6.0
5d6646aad9bcc0be55b2c82f69750387,4.0
6f8a184787819e144787323c609811d6,1.0
1e69276e3d5650de297e980aa4f59671,3.0
52947e0ade57a09e4a1386d08f17b656,1.0
bcfa8a783aaf938cdef361634d5f9289,3.0
ad13a2a07ca4b7642959dc0c4c740ab6,2.0
aace49c7d80767cffec0e513ae886df0,1.0
e8808f55fa5fe1efe93b16e8d3534992,3.0
de7f47e09c8e05e6021ababdf6bc58e7,1.0
249338e601902b14d0f529fe5e6ae417,2.0
e49b8b4053df9505e1f48c3a701c0682,1.0
9f4312a5051fc213e7f8af90dede9f25,1.0
0e3e75d3095f3746ec2531e0bf543a5c,3.0
03255088ed63354a54e0e5ed957e9008,6.0
a122eaa3ab6859fc70429f6e6524ee7f,1.0
5e7b46caa9a02a3e3af097af5d27fab5,1.0
ab9989d9b7160b800aaa1251b561c14d,3.0
b613e70fd9f59310cf0a8d33de3f2800,1.0
f95ec3de395b4bce25b39ef6138da871,1.0
fb7850115a917d3ab720269da3e667de,3.0
4aecfbe5d21e3f7912bf8eb29124423a,1.0
40c0d2afbc02bb410485f888102743f7,5.0
dda04f9d634145a9c68d5dfe53b21272,3.0
c2964caac096f26db222cb325aa267cb,1.0
a472370cd24972948ca543bcb05a29b2,6.0
b2531e7bb29bf22e1daae486fae3417a,5.0
9248afa3ae57517509334eae846760a2,6.0
29921001f2f04bd3baee84a12e98098f,1.0
228499b55310264a8ea0e27b6e7c6ab6,1.0
7160fb2765562fd2d35a07dc61c6ec42,1.0
c6bff625bdb0393992c9d4db0c6bbe45,1.0
80a54030151e45fe4e025d32430c753a,6.0
65d2ea03425887a717c435081cfc5dbb,2.0
982025df3dc7f9eae503a74980c29713,3.0
2a0f97f81755e2878b264adf39cba68e,6.0
ff2d0926d6b07ff0179183a9d687989e,3.0
530ac99d68d3b582bb8e2b99519c73be,3.0
451ee190d0efc1f77c8bcc7238979ac1,3.0
0fff885ae427e3adae25dbb31251470c,6.0
7ffd8e40d538d8b30ce61cbabff98065,4.0
d947bf06a885db0d477d707121934ff8,2.0
9e740b84bb48a64dde25061566299467,3.0
c4879f4e698b7b6932923077a78898fa,6.0
f1e2b2c9255d552500a833ac828cd635,6.0
e8e5f71237c3b05761cda9e029a5b3d2,3.0
5737cbbf29e7e1bde4520253e920cc26,5.0
2202cd8f3d1cd174f6675fb138f652e3,3.0
3349958a3e56580d4e415da345703886,6.0
